Rank Rank,Name Name,Industry Industry,Revenue USD millions,Profit USD millions,Employees Employees,Headquarters[note 1] Headquarters[note 1],State-owned State-owned,Ref. Ref.,Revenue per worker Revenue per worker
1,Walmart,Retail,611289,11680.0,2100000,United States,,[1],"$291,090.00"
2,Saudi Aramco,Oil and gas,603651,159069.0,70496,Saudi Arabia,,[4],"$8,562,911.37"
3,Amazon,Retail,574785,30425.0,1525000,United States,,[5],"$376,908.20"
4,State Grid Corporation of China,Electricity,530009,8192.0,870287,China,,[6],"$609,004.85"
5,Vitol,Commodities,505000,15000.0,1560,Switzerland,,[7][8],"$323,717,948.72"
6,China National Petroleum Corporation,Oil and gas,483019,21080.0,1087049,China,,[9],"$444,339.68"
7,China Petrochemical Corporation,Oil and gas,471154,9657.0,527487,China,,[10],"$893,204.95"
8,ExxonMobil,Oil and gas,413680,55740.0,63000,United States,,[11],"$6,566,349.21"
9,Apple,Electronics,394328,99803.0,164000,United States,,[12],"$2,404,439.02"
10,Shell,Oil and gas,386201,20120.0,93000,United Kingdom,,[13],"$4,152,698.92"
11,UnitedHealth Group,Healthcare,324162,20120.0,400000,United States,,[14],"$810,405.00"
12,CVS Health,Healthcare,322467,4149.0,259500,United States,,[15],"$1,242,647.40"
13,Trafigura,Commodities,318476,6994.0,12347,Singapore,,[16],"$25,793,796.06"
14,China State Construction Engineering,Construction,305885,4234.0,382492,China,,[17],"$799,716.07"
15,Berkshire Hathaway,Financials,302089,-22819.0,383000,United States,,[18],"$788,744.13"
16,Volkswagen Group,Automotive,293685,15233.0,675805,Germany,,[19],"$434,570.62"
17,Uniper,Electricity,288309,-19961.0,7008,Germany,,[20],"$41,139,982.88"
18,Alphabet,Information technology,282836,59972.0,190234,United States,,[21],"$1,486,779.44"
19,McKesson,Healthcare,276711,3560.0,48000,United States,,[22],"$5,764,812.50"
20,Toyota,Automotive,274491,18110.0,375235,Japan,,[23],"$731,517.58"
21,TotalEnergies,Oil and gas,263310,20526.0,101279,France,,[24],"$2,599,847.94"
22,Glencore,Commodities,255984,17320.0,81284,Switzerland,,[25],"$3,149,254.47"
23,BP,Oil and gas,248891,-2487.0,67600,United Kingdom,,[26],"$3,681,819.53"
24,Chevron,Oil and gas,246252,35465.0,43846,United States,,[27],"$5,616,293.39"
25,Cencora,Healthcare,238587,1699.0,41500,United States,,[28],"$5,749,084.34"
26,Samsung Electronics,Electronics,234129,42398.0,270372,South Korea,,[29],"$865,951.36"
27,Costco,Retail,226954,5844.0,304000,United States,,[30],"$746,559.21"
28,Foxconn,Electronics,222535,4751.0,767062,Taiwan,,[31],"$290,113.45"
29,Industrial and Commercial Bank of China,Financials,214766,53589.0,427587,China,,[32],"$502,274.39"
30,Microsoft,Information technology,211915,73307.0,221000,United States,,[33],"$897,149.32"
31,China Construction Bank,Financials,202753,48145.0,376682,China,,[34],"$538,260.39"
32,Stellantis,Automotive,188888,17669.0,272367,Netherlands,,[35],"$693,505.45"
33,Agricultural Bank of China,Financials,187061,38524.0,452258,China,,[36],"$413,615.68"
34,Ping An Insurance,Financials,181566,12454.0,344223,China,,[37],"$527,466.21"
35,Cardinal Health,Healthcare,181364,-933.0,46035,United States,,[38],"$3,939,698.06"
36,Cigna,Healthcare,180516,6668.0,70231,United States,,[39],"$2,570,317.95"
37,Marathon Petroleum,Oil and gas,180012,14516.0,17800,United States,,[40],"$10,113,033.71"
38,Phillips 66,Oil and gas,175702,11024.0,13000,United States,,[41],"$13,515,538.46"
39,Sinochem,Chemicals,173834,-1.0,220760,China,,[42],"$787,434.32"
40,China Railway Engineering Corporation,Construction,171669,2035.0,314792,China,,[43],"$545,341.05"
41,Valero Energy,Oil and gas,171189,11528.0,9743,United States,,[44],"$17,570,460.84"
42,Gazprom,Oil and gas,167832,17641.0,468000,Russia,,[45],"$358,615.38"
44,China National Offshore Oil Corporation,Oil and gas,164762,16988.0,81775,China,,[47],"$2,014,821.16"
45,China Railway Construction Corporation,Construction,163037,1800.0,342098,China,,[48],"$476,579.81"
46,Baowu,Steel,161698,2493.0,245675,China,,[49],"$658,178.49"
48,Mitsubishi Group,Conglomerate,159371,8723.0,79706,Japan,,[51],"$1,999,485.61"
49,Ford Motor Company,Automotive,158057,-1981.0,173000,United States,,[52],"$913,624.28"
50,Mercedes-Benz Group,Automotive,157403,15252.0,168797,Germany,,[53],"$932,498.80"
