Country name,Region,Capital,Population (millions),Currency
Italy,Southern Europe,Rome,60.462,Euro
Turkey,Western Asia,Ankara,84.339,Turkish Lira
Uzbekistan,Central Asia,Tashkent,33.469,Uzbekistan Sum
Russian Federation,Eastern Europe,Moscow,145.934,Russian Ruble
"Iran, Islamic Republic Of",Southern Asia,Tehran,83.993,Iranian Rial
India,Southern Asia,New Delhi,1380.004,Indian Rupee
China,Eastern Asia,Beijing,1439.324,Yuan Renminbi
Japan,Eastern Asia,Tokyo,126.476,Yen
Jordan,Western Asia,Amman,10.203,Jordanian Dinar
France,Western Europe,Paris,65.274,Euro
